id,fen,engine,move,score,wins,draws,losses,depth,seldepth,nodes,time,hashfull
875,qrkrbnnb/pppppppp/8/8/8/8/PPPPPPPP/QRKRBNNB w KQkq - 0 1,Stockfish 17.1,b2b4,64,217,780,3,11,16,100312,0.019,11
876,qbrkrnbn/pppppppp/8/8/8/8/PPPPPPPP/QBRKRNBN w KQkq - 0 1,Stockfish 17.1,c2c4,37,95,897,8,11,17,100180,0.017,9
877,qrkbrnbn/pppppppp/8/8/8/8/PPPPPPPP/QRKBRNBN w KQkq - 0 1,Stockfish 17.1,f2f4,40,106,887,7,11,19,101062,0.018,9
878,qrkrnbbn/pppppppp/8/8/8/8/PPPPPPPP/QRKRNBBN w KQkq - 0 1,Stockfish 17.1,d2d4,90,415,584,1,11,16,100089,0.016,9
879,qrkrnnbb/pppppppp/8/8/8/8/PPPPPPPP/QRKRNNBB w KQkq - 0 1,Stockfish 17.1,b2b4,50,144,851,5,11,16,100215,0.021,10
880,bbrqkrnn/pppppppp/8/8/8/8/PPPPPPPP/BBRQKRNN w KQkq - 0 1,Stockfish 17.1,b2b3,87,388,611,1,11,17,100108,0.018,7
881,brqbkrnn/pppppppp/8/8/8/8/PPPPPPPP/BRQBKRNN w KQkq - 0 1,Stockfish 17.1,b2b4,41,109,884,7,10,18,101248,0.016,11
882,brqkrbnn/pppppppp/8/8/8/8/PPPPPPPP/BRQKRBNN w KQkq - 0 1,Stockfish 17.1,e2e4,79,320,678,2,12,16,101186,0.017,10
883,brqkrnnb/pppppppp/8/8/8/8/PPPPPPPP/BRQKRNNB w KQkq - 0 1,Stockfish 17.1,b2b4,53,156,840,4,11,17,101040,0.019,9
884,rbbqkrnn/pppppppp/8/8/8/8/PPPPPPPP/RBBQKRNN w KQkq - 0 1,Stockfish 17.1,c2c4,31,80,911,9,11,19,100558,0.019,8
885,rqbbkrnn/pppppppp/8/8/8/8/PPPPPPPP/RQBBKRNN w KQkq - 0 1,Stockfish 17.1,e2e4,21,58,929,13,9,18,100230,0.02,10
886,rqbkrbnn/pppppppp/8/8/8/8/PPPPPPPP/RQBKRBNN w KQkq - 0 1,Stockfish 17.1,c2c3,48,138,857,5,11,17,100812,0.018,6
887,rqbkrnnb/pppppppp/8/8/8/8/PPPPPPPP/RQBKRNNB w KQkq - 0 1,Stockfish 17.1,g2g3,25,65,923,12,10,17,100414,0.018,8
888,rbqkbrnn/pppppppp/8/8/8/8/PPPPPPPP/RBQKBRNN w KQkq - 0 1,Stockfish 17.1,c2c4,38,100,893,7,11,13,101453,0.018,7
889,rqkbbrnn/pppppppp/8/8/8/8/PPPPPPPP/RQKBBRNN w KQkq - 0 1,Stockfish 17.1,e2e4,19,54,932,14,9,18,100059,0.017,7
890,rqkrbbnn/pppppppp/8/8/8/8/PPPPPPPP/RQKRBBNN w KQkq - 0 1,Stockfish 17.1,c2c4,57,179,817,4,12,25,101544,0.018,6
891,rqkrbnnb/pppppppp/8/8/8/8/PPPPPPPP/RQKRBNNB w KQkq - 0 1,Stockfish 17.1,d2d4,45,123,871,6,11,23,100767,0.017,6
892,rbqkrnbn/pppppppp/8/8/8/8/PPPPPPPP/RBQKRNBN w KQkq - 0 1,Stockfish 17.1,f2f3,36,92,900,8,12,17,100373,0.018,8
893,rqkbrnbn/pppppppp/8/8/8/8/PPPPPPPP/RQKBRNBN w KQkq - 0 1,Stockfish 17.1,h1g3,57,180,816,4,11,16,101496,0.018,7
894,rqkrnbbn/pppppppp/8/8/8/8/PPPPPPPP/RQKRNBBN w KQkq - 0 1,Stockfish 17.1,a2a4,22,60,927,13,10,20,100025,0.016,8
895,rqkrnnbb/pppppppp/8/8/8/8/PPPPPPPP/RQKRNNBB w KQkq - 0 1,Stockfish 17.1,e2e4,54,165,831,4,11,19,100819,0.016,8
